country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","06-04-2026 18:00:00",26.987634,94.636574,PM2.5,20,34,26
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-04-2026 18:00:00",25.5626095,84.663264,PM2.5,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-04-2026 18:00:00",25.5626095,84.663264,NO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","06-04-2026 18:00:00",24.75746,84.366208,NO2,7,8,8
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","06-04-2026 18:00:00",14.675886,77.593027,NO2,8,24,13
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","06-04-2026 18:00:00",13.204880,79.097889,NH3,5,7,6
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","06-04-2026 18:00:00",13.204880,79.097889,CO,6,24,17
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","06-04-2026 18:00:00",16.711754,81.092095,SO2,8,14,11
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","06-04-2026 18:00:00",13.615387,79.409230,SO2,11,21,13
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","06-04-2026 18:00:00",16.536107,80.594233,PM2.5,54,147,80
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","06-04-2026 18:00:00",16.536107,80.594233,SO2,9,18,12
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","06-04-2026 18:00:00",16.486692,80.699436,SO2,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","06-04-2026 18:00:00",11.654054,92.734055,NH3,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","06-04-2026 18:00:00",11.654054,92.734055,SO2,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","06-04-2026 18:00:00",28.815329,77.153010,PM10,47,320,145
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","06-04-2026 18:00:00",28.647622,77.3158090,NO2,12,37,23
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","06-04-2026 18:00:00",28.695381,77.181665,SO2,13,25,18
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","06-04-2026 18:00:00",28.695381,77.181665,OZONE,2,93,90
India,Delhi,Delhi,"Bawana, Delhi - DPCC","06-04-2026 18:00:00",28.776200,77.051074,PM2.5,28,399,153
India,Delhi,Delhi,"Bawana, Delhi - DPCC","06-04-2026 18:00:00",28.776200,77.051074,NO2,6,48,19
India,Delhi,Delhi,"Bawana, Delhi - DPCC","06-04-2026 18:00:00",28.776200,77.051074,SO2,8,62,21
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","06-04-2026 18:00:00",28.7256504,77.2011573,PM10,NA,NA,NA
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","06-04-2026 18:00:00",28.7256504,77.2011573,OZONE,33,127,103
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","06-04-2026 18:00:00",28.5512005,77.2735737,PM2.5,4,151,73
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","06-04-2026 18:00:00",28.5512005,77.2735737,PM10,59,246,130
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","06-04-2026 18:00:00","28.594169 ","77.125100 ",PM10,49,198,108
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","06-04-2026 18:00:00","28.594169 ","77.125100 ",OZONE,7,47,42
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","06-04-2026 18:00:00",28.656756,77.227234,SO2,11,19,16
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","06-04-2026 18:00:00",28.656756,77.227234,OZONE,4,89,79
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","06-04-2026 18:00:00","28.615828 ","77.271992 ",PM2.5,18,192,84
India,Delhi,Delhi,"DTU, Delhi - CPCB","06-04-2026 18:00:00",28.7500499,77.1112615,NO2,38,59,51
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","06-04-2026 18:00:00",28.498571,77.264840,PM10,55,181,105
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","06-04-2026 18:00:00",28.5710274,77.0719006,SO2,14,54,27
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","06-04-2026 18:00:00",25.03280,85.41948,SO2,2,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","06-04-2026 18:00:00",25.892357,86.590325,PM2.5,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","06-04-2026 18:00:00",26.2271665,84.3570427,PM10,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","06-04-2026 18:00:00",26.2271665,84.3570427,NH3,1,1,1
